company_id,name
1ea59611-1100-41e1-8805-48bb4d364f0a,Metal Works Ramat David
a697843f-fe51-4800-be08-e9ea92ffe21d,"Divergent Technologies, Inc."
6807e85b-863f-4c80-8a1d-436da8608d50,U.S. Philips Corporation
784b5ac7-b74d-422e-9cc1-922f47801deb,Xerox Corporation
ad38a161-9f04-4f06-80c9-3ee8305d23c6,COMMONWEALTH SCIENTIFIC AND INDUSTRIAL RESEARCH ORGANISATION
601b1896-0d07-4664-942e-e109fc87f84a,adidas AG
cf4da630-d78e-4761-89a4-20c6736ac290,Mitsubishi Electric Corporation
d28dbe5d-9678-4499-aa4c-2e14661a044c,HYUNDAI MOTOR COMPANY
61d52265-4aea-4f20-b743-c4a9faef6860,Canon Kabushiki Kaisha
a0f6a28a-bed5-4a42-93d2-10ce78cb0ec2,Cypress Semiconductor Corporation
8263bd1e-886d-4d69-aeec-d075f3acd142,Keiper Recaro GmbH & Co.
2f58876b-24b5-40c6-84cc-20d7b3d93bdb,"Gale Australia Pty, Ltd."
47f858d6-7e6a-4e3f-a795-2b32cb38512c,KOREA INSTITUTE OF SCIENCE AND TECHNOLOGY
5e11993a-f58d-45c7-9aa8-02cb419adcb4,"Motorola, Inc."
22882793-89ad-42d4-a9be-2a31d55dd9e1,LIBERTY HARDWARE MFG. CORP.
64567177-b253-4fc2-a642-6f7d12ae4bca,Johnson & Johnson Ind. E Com. Ltda.
c80989e1-5b54-443b-92e2-5da94452ce5b,Dow Corning Corporation
74f225ae-8679-42f1-9a33-0b911bf41f19,"NGK SPARK PLUG CO., LTD."
08b46ab0-1dd6-430d-8001-dc8e7368247c,THE CHILDREN'S HOSPITAL CORPORATION
2b4c29a6-1f5c-4fdf-ab96-849736eae57e,SONY ELECTRONICS INC.
2327d720-b13a-419d-a3ca-82d0cca34a0f,Dade Behring Marburg GmbH
479b9c79-41e0-4165-90de-4493c83f7409,Xyrofin Oy
c20e9982-92fb-4088-af5b-151d5a463219,"Crosslink-D, Inc."
1e4ab8dd-fabc-423a-91f5-10edb1d39e0e,"NIPPON ELECTRIC CO., LTD."
6326da5f-8cb5-4e23-8929-4dd62cba64d3,"HITACHI, LTD."
5c2b6e29-0552-4dce-bc84-5d180a11179c,The Standard Oil Company
40742533-5468-4d6c-a3ad-6ed3003883b6,Mobil Oil Corporation
93f1d126-37ed-4480-956a-b8ca161bf7b0,KwikSpace Guam
60379739-44c6-4c9c-aa19-6c37fc3997ab,Dowty Fuel Systems Limited
95c789e7-1a6d-440a-8077-98c070f83c30,QUALCOMM Incorporated
35b416a1-4a20-4ad0-b6eb-2e0810c33cbe,"Minolta Co., Ltd."
91380a3d-61df-406d-bd6a-1fe335671ab7,Roche Vitamins Inc.
b5623d2f-2637-4eb1-b9e5-3b00f91bc404,Renault S.A.S.
47cd060e-60ce-49ab-8623-caf34f5c3860,Intel Corporation
0052b9e4-3468-41e1-94ca-46475699d13c,Semiconductor Manufacturing International (Shanghai) Corporation
c440ab41-b857-45a0-b0e8-3d492ff5b589,Serco
b0e5d573-dbf9-4555-a84d-0a8fd89cc5e2,Alcatel N.V.
033b36e2-f7b0-484b-96eb-54740c7c3aa2,NIFCO INC.
126ced19-b0bf-497f-9a22-2ca3b15b9f78,"Coulter Ventures, LLC."
b33c6ed1-8876-4cc2-8b07-e0fd67d4758b,"MILESTONE ENTERTAINMENT, LLC"
9e8542bf-1e3f-45ae-8584-6a6bbdce5021,Raytheon Company
d7aefd59-9bfc-4017-9689-05bea973185d,THE DOW CHEMICAL COMPANY
a0ffba9e-287a-49ad-92d2-92ad96ebf0f3,Dynamit Nobel GmbH
6326da5f-8cb5-4e23-8929-4dd62cba64d3,"HITACHI, LTD."
52ecdb75-b56c-424f-90a0-eb919aa5cad6,Technit-Technische Textilien und Systeme GmbH
bfb14eeb-7fe9-4296-85a1-dd62dadbb8ad,"Zhuhai Kelitong Electronic Co., Ltd."
0df6eb71-9241-4081-8ed4-b180c6b1e6c8,"Shin-Etsu Polymer Co., Ltd."
8b53b853-c816-41e1-8120-60cdb2f0e147,"Rohm Co., Ltd."
1890401f-bfe7-4877-ba67-6fec75038429,UNITED TECHNOLOGIES CORPORATION
f71249de-0cfb-488f-8a27-f3861dc2d67b,LG ELECTRONICS INC.
26fdd791-5b31-4954-bd2b-e7b549fc0d00,Stanadyne LLC
c950d757-f59a-42fb-90f4-53e66df6811a,"AqueSys, Inc."
21875870-55c5-46e4-b22f-b12c77ac8fdf,CALIFORNIA INSTITUTE OF TECHNOLOGY
154076ba-ad2c-4bbc-83a9-cc436c2b63b1,"Nissan Motor Co., Ltd."
5e11993a-f58d-45c7-9aa8-02cb419adcb4,"Motorola, Inc."
34f924d6-e816-4760-bff7-e145476253eb,RCA Corporation
f405694e-be8a-4085-960e-3821682c02c3,Photonetics
60cc19b8-a1a8-48f2-857c-afb75752341a,"Fibre Glass-Evercoat Company, Inc."
f28bb08f-e759-4918-9c85-381444a7fbb2,Kabushiki Kaisha Daikin Seisakusho
43f21785-9966-4d01-a080-397304253339,GOOGLE TECHNOLOGY HOLDINGS LLC
c597d747-af66-48aa-b505-63dfe95ce0c1,Tesat-Spacecom GmbH & Co. KG
5c4ad96d-5c74-4e2f-9ef6-1eca12ad40e5,INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY
af1c1db8-dc03-4036-a732-d81d2ad09c0c,SONY GROUP CORPORATION
8ea8f29a-3897-4a55-80a9-579e39725345,Siemens Aktiengesellschaft
82a9c7c3-6662-450e-afcb-e07b63762b9e,Injectaplastic SA
61d52265-4aea-4f20-b743-c4a9faef6860,Canon Kabushiki Kaisha
efd2d42a-9faf-4c64-b194-5b0dc29cfa8e,TOYOTA JIDOSHA KABUSHIKI KAISHA
ddf8c936-12c3-4984-b07d-578357fcdecd,"Government of the United States of America, as represented by the Secretary of Commerce"
7c26a12d-f468-4b49-882f-4350abe79ec1,"Fleetfoot, L.L.C."
9ed2f3fa-8ed5-4f0e-8466-bdcbb79110b8,Rohm and Haas Company
bdeb6187-82c3-4e04-bec6-b6bbd06c99cc,Verizon Patent and Licensing Inc.
364f826c-aabb-4623-93ad-f2e148b233d2,"LIFETIME PRODUCTS, INC."
a52e4a66-7c02-467e-b322-1f3e5a8f52ae,"The Population Council, Inc."
9f45b3d0-ebb6-486a-8d7c-ce3111ff8191,BASF SE
392c286d-00f6-4c27-95e3-bcee7f98a1aa,Charbonnages de France
0742c957-dafb-4412-a07d-3dc328e146f8,AIRBUS OPERATIONS LIMITED
23f54638-a0c0-4757-b251-3852ce1fb9a9,"Cisco Technology, Inc."
2f9a3eeb-66c2-4d07-9cde-7d1b10621bd2,"10x Genomics, Inc."
20e0f40b-67dc-4c3b-9f16-4e5ee75163b2,JONKER LLC
ff742a6c-ad8e-4445-a674-7e6ce4f7f10b,CHUNG HUA UNIVERSITY
79f666e5-9787-4385-b0e5-4afeb1102b5a,Sapal Societe Anonyme des Plieuses Automatiques
e9544a10-c765-4651-99fd-d2a56ce4f288,YAMAHA CORPORATION
bcb8ae56-dae0-4fa6-9300-a00d754cb7fb,The Procter & Gamble Company
cd597db3-0902-4337-a86d-e1f51f1fdd59,ASML Holding N.V.
c24dfd5c-e1d3-4e7e-9b4f-439c55607b93,Anritsu Company
8ee70a46-733f-4793-9074-5e4718c4c83e,Mercado Medic AG
1e5fcac7-8a26-4fab-ba20-e20c8cdb126c,USUI KOKUSAI SANGYO KAISHA LIMITED
779439ac-ce78-4af1-a175-98ee7eaf4bcd,Oiles Corporation
4d295998-e4c0-4157-8b58-c716762ed388,"Japan Servo Co., Ltd."
0e3a712c-be4d-486e-9f9d-62ddfa460e2e,"SUTENG INNOVATION TECHNOLOGY CO., LTD."
5cbf6cf6-08d1-41e2-aba6-46b689895c03,Microsoft Corporation
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation
d06e145d-a6d0-40e6-8c9e-47442fb51259,Gardena Kress + Kastner GmbH
d1d96a91-c5e6-4090-ba39-4af2494eb35c,"SAMSUNG ELECTRONICS CO., LTD."
61d52265-4aea-4f20-b743-c4a9faef6860,Canon Kabushiki Kaisha
7b405dea-89a9-4a86-9e9e-613053f4c76b,Waymo LLC
fab27164-8a49-4c97-9d35-ea9a189ead15,"Harman International Industries, Incorporated"
019ad589-6c83-4101-b491-981e99183428,Everest VIT
1c6a3416-0914-4849-8ed1-e00aceec1bf9,PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE
7f60b559-0312-46ab-b631-90deb80a953d,Abbott Laboratories
4458f845-5987-4e35-99a5-e8b9cc283952,"Halliburton Energy Services, Inc."
c743e7d8-5290-412a-aeeb-edef2348822a,General Electric Company
80eb8ed9-6974-46ca-82f6-86ca7fcef0d6,SIGNIFY HOLDING B.V.
3e4ecb1f-e8e2-4f73-af38-224899a6c443,Koebenhavns Universitet (University of Copenhagen)
ef1c039e-55e4-4911-bcdb-310488522d68,Mannesmann Rexroth AG
03c915ec-4b59-4379-a242-a76de169f028,KOREA ELECTRIC POWER CORPORATION
e167fdbc-0bfd-4502-8b0e-17864efd238d,PANASONIC HOLDINGS CORPORATION
72b6855b-af0c-4ef8-9fe7-09c3d79e9297,Beihang University
f3a4c3c1-01bc-4520-aa18-7c740effc9e3,Kohler Co.
97af80b9-5196-4e93-b645-83daf59a5329,OrCam Technologies Ltd.
5a08d41d-4860-4f26-821f-88bc62677d1f,"T-Mobile USA, Inc."
a587930f-504f-4f64-9063-3fd1d34eb5a0,"Anderson-Cook, Inc."
606695d0-2990-43d4-a40b-2818aa3852bc,Saint-Gobain Vitrage
2e0f64a7-b127-4491-ac2d-d159e002de56,"TIMOTION TECHNOLOGY CO., LTD."
3f7d06d2-684c-4162-a565-0703798893a3,"Guangzhou Shiyuan Electronics Co., LTD."
a87c76e4-70d6-42af-aa1f-b25372bae916,Tyco Healthcare Group LP
dc8fca5c-6cf9-4e93-98a5-402643849605,Rubbermaid Incorporated
9f62d693-15a7-4d6c-a54d-cde90bf3d617,ALFOREX SEEDS LLC
de14837c-a39b-46d7-926a-06cbe30db145,Deere & Company
8bc9c640-4f7a-4f76-b47b-d00201e48f15,United States of America as represented by the Secretary of the Air Force
8e643ad9-ed36-4e73-a199-a0a168446bcd,Wyse Technology L.L.C.
e677513c-9f4e-48fc-a4f0-98d574557893,KONINIKLIJKE PHILIPS N.V.
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation
183c1eb3-9e60-4b4b-8bfa-e1fc2884c978,Universal City Studios LLC
305d8228-4993-4d1d-9207-a9327e1c6f1d,"InterDigital Patent Holdings, Inc."
4e27f75a-2b5b-4a79-9054-3b60377f584a,EZflow L.P.
d924361a-e45f-4eba-b3e8-46003e38d7c1,"Sequenom, Inc."
1720d379-bf35-49d2-8d80-ca5a35879e42,"Brainscope Company, Inc."
6f828e3f-1e63-4c93-a6db-9b8f35a7fb17,KOMATSU LTD.
98027167-90df-4535-85c9-1ba1fb88577a,HARRIS CORPORATION
fc9f72f3-e02c-4383-bea4-aeed1de2f007,Self Sime Italia Ricera & Sviluppo S.r.l.
c7b92787-587e-412f-9d47-447a6b0527b1,SESSILE RESEARCH CORPORATION
20e63ece-1b0a-4684-bee9-5d9685873cf9,Google LLC
de488352-517b-43b0-89cf-f7dff55db1e3,Dolby International AB
e5d6007a-8b25-42a2-8ed3-747c3606d880,"AirFlow Direction, Inc."
bea50c55-6f96-4ab5-8e15-e01b194eb606,"CONNECT NOW, INC."
1177679d-d7ea-4a87-9af2-71c44db92ad0,TENCENT TECHNOLOGY (SHENZHEN) COMPANY LIMITED
47cd060e-60ce-49ab-8623-caf34f5c3860,Intel Corporation
b2ba5614-214d-4f70-a819-b621a364833d,Metra Electronics Corp.
62328d2d-2c43-43a5-911c-d723537b2e7c,ASML NETHERLANDS B.V.
d00c89c3-8d42-40ce-bf26-86f7b5f15eaa,BSH Bosch und Siemens Hausgeräte GmbH
8d99dd2c-66d6-436a-8901-97f0fbde506e,Univerza Edvarda Kardelja v Ljubljana
7454e78f-0b0d-4e34-b568-ed7fe0dae0e7,Newell Operating Co.
c9398d69-5dbb-4b06-b9ea-757038ca0ea3,FUJITSU LIMITED
955f4dda-7d68-42a2-a207-5ea8b4012664,"Montage Technology, Inc."
cf2f73b2-73c3-47fa-a92b-284acf69bbaa,AKTIEBOLAGET SKF
66dde1ff-552e-4a55-a26d-815c34a2bbbe,YAMAUCHI CORP.
cf4da630-d78e-4761-89a4-20c6736ac290,Mitsubishi Electric Corporation
3cd2411c-a2f6-4dbe-96e1-c699bbb48220,"Progressive Dynamics, Inc."
3c6b1357-c8fd-43ba-bfc3-cc3f44cee9b0,"Huawei Technologies Co., Ltd."
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation
ce183c1e-e412-4ff6-a1ae-09854da030a1,"MICROSOFT TECHNOLOGY LICENSING, LLC"
e050463c-0062-400f-8c45-be0a61b03c03,"SHENZHEN WINRISE TECHNOLOGY CO., LTD."
3c6b1357-c8fd-43ba-bfc3-cc3f44cee9b0,"Huawei Technologies Co., Ltd."
db7d6d82-8ef8-47ed-b8be-a633c047a213,"VIVO MOBILE COMMUNICATION CO., LTD."
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation
cf4da630-d78e-4761-89a4-20c6736ac290,Mitsubishi Electric Corporation
07d5fc87-34eb-4658-a123-169fc020d5cc,Unisys Corporation
6e80a706-ca3c-437b-8a9c-aae8b5efba57,International Business Machines Corporation
a90e9fd0-52e6-43d3-b861-4a87a6e54cb8,Kabushiki Kaisha Toshiba
68ae61e9-eeae-4955-9a17-f028ad3e9d5f,NXP B.V.
9d40b35b-e024-4824-9db5-ace7ad3affd2,Unknown
6c710513-ba55-41a4-a87d-cc57243d6366,Nano Precision Corporation
8e7c169f-935d-4f1f-972d-7a57dfb3bc5d,Oura Health Oy
